date,pm10,no,no2,nox,ozone,pm25
2025-03-05,10.19375,1.306121052631579,4.918883684210526,6.921573684210526,84.22547083333333,6.605833333333333
2025-03-06,27.822916666666668,2.0567413636363634,12.424654545454546,15.578282727272727,76.32790458333334,19.490041666666666
2025-03-07,25.120833333333334,16.0479625,26.974686666666667,51.58121791666667,28.415859583333333,19.694416666666665
2025-03-08,35.5625,9.941093913043478,32.372,47.61479739130434,33.7183225,25.599500000000003
2025-03-09,48.231249999999996,5.590402916666666,31.182468749999998,39.75429916666666,32.32964833333333,42.289
2025-03-10,34.860416666666666,1.30537625,15.663117083333333,17.664665833333334,61.90481333333333,25.98275
2025-03-11,8.293750000000001,1.4964231818181817,12.079497272727274,14.37398,66.61757583333333,3.7569166666666667
2025-03-12,7.251041666666667,1.2117879166666665,9.100540833333334,10.958587916666666,74.05918041666666,3.1919166666666663
2025-03-13,7.421875,1.3951868421052631,13.790832631578947,15.930086842105263,70.82448291666667,3.65375
2025-03-14,8.161458333333334,1.9810437500000002,18.092378333333333,21.129933333333334,56.31546708333334,4.395708333333333
2025-03-15,9.876041666666667,3.988823333333333,21.153574583333334,27.269686250000003,49.239740833333336,5.933583333333334
2025-03-16,10.153125000000001,1.1996052173913043,12.465026086956522,14.30439608695652,61.22294958333333,6.204791666666666
2025-03-17,16.091666666666665,4.950480869565217,11.546900434782609,19.137531739130434,74.51237125,6.162583333333333
2025-03-18,19.118750000000002,5.207447916666666,15.561694583333335,23.546335,61.13771583333334,9.142166666666666
2025-03-19,34.407291666666666,11.049933333333334,28.7727775,45.71576958333333,38.615410000000004,23.288208333333333
2025-03-20,49.95729166666666,6.72093375,31.303792916666666,41.609081249999996,49.66382708333333,38.227375
2025-03-21,58.38229166666667,4.717411666666666,21.06326625,28.29652833333333,63.10223375,45.21633333333333
2025-03-22,50.38229166666667,6.435904999999999,23.33244375,33.2006925,50.64019583333334,31.01925
2025-03-23,47.4455,1.316831052631579,12.271715789473683,14.290826315789472,78.11710375,27.959333333333333
2025-03-24,16.247916666666665,2.335566956521739,18.611648260869565,22.192799130434782,63.34060875,11.192041666666666
2025-03-25,7.697916666666667,5.320923636363637,18.121039545454547,26.279673181818183,57.65771375,4.267875
2025-03-26,11.240625,3.2826965217391306,13.808059565217391,18.841455652173913,48.74150791666667,7.3388333333333335
2025-03-27,3.9187499999999997,1.575137619047619,5.247097142857143,7.662272857142858,61.361540416666664,2.0370833333333334
2025-03-28,6.148958333333333,1.3815320833333333,5.074455833333333,7.192774166666666,76.88087833333333,3.1662916666666665
2025-03-29,9.970833333333333,1.1429604166666667,3.5715966666666668,5.324110416666667,74.15065125,5.451125
2025-03-30,13.539583333333333,2.2968433333333333,7.611937083333333,11.133714583333335,73.66212,7.339833333333334
2025-03-31,17.621875,6.167905,22.46180916666667,31.919130416666665,42.934575833333334,8.742125
2025-04-01,11.909374999999999,4.9610916666666665,11.01568625,18.62258625,61.2402725,5.530708333333333
2025-04-02,14.146875,6.93075,14.786247083333334,25.4132475,59.304165833333336,6.6548750000000005
2025-04-03,20.198958333333334,6.5060633333333335,16.751736666666666,26.727559583333335,54.00447416666666,11.478041666666668
2025-04-04,19.528125,3.3955379166666666,12.906939583333333,18.11335791666667,65.03210374999999,10.0885
