lsoa_code,lsoa_name,imd_score,imd_decile,health_deprivation_score,health_deprivation_decile,income_score,employment_score,education_score,crime_score,housing_barriers_score,living_environment_score,indoors_subdomain_score,outdoors_subdomain_score,idaci_score,idaopi_score,total_population,population_0_15,population_60_plus,population_working_age,pct_population_0_15,pct_population_60_plus
E01008859,Sunderland 009E,55.573,1,1.713,1,0.576,0.334,59.598,0.227,17.994,22.906,0.261,0.01,0.716,0.359,1350,412,201,783,30.518518518518515,14.888888888888888
E01008860,Sunderland 009F,46.31,1,1.543,1,0.429,0.276,51.566,1.394,11.522,15.745,-0.426,0.613,0.604,0.354,1310,244,342,822,18.62595419847328,26.106870229007633
E01008861,Sunderland 025B,26.311,4,0.808,2,0.229,0.182,33.773,0.599,18.316,12.235,-0.215,-0.139,0.366,0.13,1448,226,444,864,15.607734806629834,30.662983425414364
E01008862,Sunderland 025C,9.58,8,0.186,5,0.1,0.098,6.279,-0.761,19.923,1.361,-1.113,-0.809,0.174,0.062,1257,163,591,702,12.967382657120128,47.01670644391408
E01008863,Sunderland 025D,5.705,9,-0.135,6,0.069,0.063,4.222,-0.666,17.238,4.034,-1.481,-0.17,0.095,0.071,1549,208,608,920,13.42801807617818,39.25112976113622
E01008864,Sunderland 025E,9.315,8,0.2,5,0.072,0.095,6.369,-1.298,22.903,5.873,-0.93,-0.041,0.086,0.042,1174,153,577,586,13.032367972742758,49.148211243611584
E01008865,Sunderland 025F,33.848,2,1.308,1,0.335,0.198,46.671,-0.354,25.651,14.645,-0.158,0.05,0.445,0.365,1261,182,477,712,14.432989690721648,37.82712133227597
E01008866,Sunderland 025G,32.943,3,1.458,1,0.356,0.199,30.948,-0.008,25.134,7.829,-0.465,-0.252,0.474,0.341,1307,286,300,817,21.882172915072687,22.953328232593726
E01008867,Sunderland 020A,58.599,1,1.755,1,0.571,0.341,57.28,1.45,17.732,10.698,-0.264,-0.25,0.775,0.487,1551,338,219,1056,21.79239200515796,14.119922630560927
E01008868,Sunderland 020B,8.797,8,0.354,4,0.111,0.069,7.358,-0.554,16.319,3.449,-0.715,-0.658,0.19,0.121,1090,120,425,670,11.009174311926607,38.99082568807339
E01008869,Sunderland 020C,19.001,5,0.738,3,0.209,0.133,22.561,0.039,12.074,8.462,-0.386,-0.318,0.353,0.186,1181,181,431,681,15.325994919559696,36.494496189669775
E01008870,Sunderland 020D,6.987,9,0.16,5,0.078,0.082,5.545,-1.157,13.483,3.306,-1.003,-0.393,0.096,0.106,1314,175,436,836,13.318112633181126,33.181126331811264
E01008871,Sunderland 020E,33.579,2,1.226,1,0.346,0.237,41.882,0.327,13.423,5.697,-0.5,-0.578,0.384,0.394,1325,262,342,823,19.77358490566038,25.81132075471698
E01008872,Sunderland 020F,10.575,8,0.23,4,0.131,0.09,9.812,-0.416,15.518,4.692,-1.099,-0.132,0.117,0.19,1737,241,579,1073,13.874496257915947,33.33333333333333
E01008873,Sunderland 010A,14.233,6,0.663,3,0.15,0.109,12.567,-0.456,13.527,11.112,-0.296,-0.111,0.357,0.075,1170,163,422,667,13.931623931623932,36.06837606837607
E01008874,Sunderland 010B,42.88,2,1.25,1,0.459,0.257,59.143,0.804,11.859,8.557,-0.455,-0.162,0.662,0.417,1739,385,392,1018,22.13916043703278,22.54169062679701
E01008875,Sunderland 010C,22.447,4,0.954,2,0.251,0.153,24.245,-0.276,13.23,15.152,-0.476,0.616,0.287,0.354,1410,225,331,947,15.957446808510639,23.47517730496454
E01008876,Sunderland 007C,9.311,8,0.235,4,0.101,0.102,7.786,-0.487,10.845,1.306,-1.222,-0.77,0.135,0.1,1680,273,577,921,16.25,34.345238095238095
E01008877,Sunderland 007D,11.658,7,0.241,4,0.101,0.09,10.269,-0.17,12.819,23.823,0.212,0.241,0.095,0.11,1618,256,479,993,15.822002472187885,29.604449938195305
E01008878,Sunderland 009G,25.76,4,0.84,2,0.265,0.169,35.778,0.409,12.045,13.272,-0.136,-0.189,0.399,0.265,1487,259,410,895,17.41761936785474,27.57229320780094
E01008879,Sunderland 010D,24.102,4,0.994,2,0.26,0.168,25.566,-0.122,10.06,18.849,-0.089,0.38,0.475,0.219,1281,172,445,810,13.427010148321624,34.73848555815769
E01008880,Sunderland 010E,25.514,4,1.063,2,0.259,0.191,29.718,-0.169,10.59,11.062,-0.417,0.099,0.351,0.21,1095,160,395,635,14.61187214611872,36.07305936073059
E01032483,Sunderland 032F,30.905,3,0.783,2,0.251,0.19,38.366,0.743,24.068,28.01,0.423,0.157,0.35,0.196,1617,260,474,1045,16.079158936301795,29.313543599257883
E01032484,Sunderland 032G,29.556,3,1.174,1,0.243,0.162,31.252,0.531,18.847,36.6,0.651,0.418,0.391,0.23,1232,147,401,806,11.931818181818182,32.548701298701296
E01033076,Sunderland 012F,40.931,2,1.242,1,0.443,0.25,54.246,0.873,11.768,6.172,-0.932,0.001,0.561,0.527,2518,624,396,1592,24.781572676727563,15.726767275615568
E01033077,Sunderland 027F,18.739,5,0.685,3,0.222,0.141,20.313,-0.222,15.793,3.874,-1.01,-0.291,0.178,0.376,2348,450,646,1416,19.165247018739354,27.512776831345825
E01034514,Sunderland 005H,65.457,1,2.486,1,0.544,0.406,63.012,0.87,13.199,40.424,0.684,0.69,0.673,0.43,3303,579,991,2009,17.529518619436875,30.003027550711476
E01034515,Sunderland 017F,10.163,8,0.114,5,0.137,0.097,10.758,-1.701,17.214,3.277,-1.0,-0.399,0.218,0.087,1516,316,364,947,20.844327176781004,24.010554089709764
E01034516,Sunderland 017G,5.319,10,0.128,5,0.051,0.041,4.233,-1.187,19.853,3.741,-1.273,-0.234,0.06,0.073,1684,457,136,1121,27.137767220902614,8.076009501187649
E01034517,Sunderland 021G,53.82,1,1.403,1,0.521,0.329,65.615,1.114,14.393,12.575,-0.406,0.256,0.615,0.412,2310,534,506,1403,23.116883116883116,21.904761904761905
E01034518,Sunderland 030F,9.924,8,0.173,5,0.115,0.1,9.105,-0.906,16.397,3.688,-0.653,-0.723,0.178,0.08,1748,254,588,996,14.530892448512587,33.63844393592677
E01034519,Sunderland 030G,6.905,9,0.295,4,0.08,0.052,2.44,-0.489,19.673,1.273,-1.224,-0.781,0.152,0.062,1660,377,180,1127,22.710843373493976,10.843373493975903
