areacd,areanm,cvd_mortality_rate_period,cvd_mortality_rate,employment_rate,econ_inactivity_rate,gdhi_per_head,child_poverty_pct,no_qualifications_pct,level3_plus_qual_pct,fuel_poverty_pct,housing_affordability_ratio,avg_house_price,ghg_emissions,air_pollution_regulating,domestic_gas_consumption,domestic_elec_consumption,coverage_4g_pct,coverage_5g_pct,gigabit_broadband_pct,premises_below_30mbps_pct,adult_obesity_pct,cigarette_smokers_pct,population_density,median_age,job_density
E06000051,Shropshire,2022-01-01/P3Y,26.9653243962826,78.8,18.0,23824,23.41169725,7.7,67.2,12.751636238374097,7.43,284036.0,7.64,15.942853,9099.019969,2618.7,99.69,81.15,74.6,7.7,30.14507,9.6,104,48.0,0.84
E06000039,Slough,2022-01-01/P3Y,45.894970998585,80.7,14.2,21205,31.25572206,6.7,60.7,9.76915415807071,10.13,352024.0,4.64,6.984001,10467.68376,2683.5,100.0,100.0,96.9,0.4,29.98331,11.5,5143,34.0,0.77
E08000029,Solihull,2022-01-01/P3Y,22.6956687669994,77.6,19.6,26815,20.05800571,5.8,67.7,8.905579399141631,7.04,334966.0,4.94,10.568427,11355.747,2710.4,100.0,100.0,95.4,1.1,17.28569,9.8,1241,42.0,1.19
E06000066,Somerset,2022-01-01/P3Y,23.218572230644103,78.9,19.0,24547,23.85752348,5.8,64.2,10.244609640164455,7.86,281571.0,6.58,47.032683,8171.907379,2627.75,99.39,84.89,75.7,4.7,33.24217,,171,46.0,0.86
E07000012,South Cambridgeshire,2022-01-01/P3Y,21.632399781749506,80.3,13.8,31091,14.03488304,2.3,73.2,8.52497228460161,8.75,436011.0,7.4,9.189303,10190.31125,2796.1,100.0,99.61,85.8,1.9,20.31798,7.6,191,42.0,0.87
E07000039,South Derbyshire,2022-01-01/P3Y,29.9849571746576,81.5,18.5,22839,18.96654038,3.7,61.9,8.801381261441172,6.17,258672.0,6.07,6.379983,9595.327493,2524.9,100.0,99.83,92.6,1.4,31.67584,12.5,347,41.0,0.51
E06000025,South Gloucestershire,2022-01-01/P3Y,20.509157266987103,85.0,13.2,25422,17.53912188,3.7,72.1,7.347499820188442,8.35,340300.0,5.12,14.055228,8883.182669,2550.3,99.98,98.42,85.4,1.4,26.25019,9.4,616,39.0,0.96
E07000044,South Hams,2022-01-01/P3Y,17.7817419347642,81.9,18.1,29987,19.94387934,4.7,72.0,10.583994232155732,9.45,360571.0,6.54,2.323877,7931.565761,2705.8,98.32,83.46,58.7,12.0,25.0819,7.7,104,51.0,1.06
E07000140,South Holland,2022-01-01/P3Y,34.9614185679894,85.8,14.2,20789,27.82117044,10.7,44.9,10.575186403000972,7.27,231036.0,6.97,4.910872,9639.032918,2642.1,100.0,97.45,76.4,5.7,35.08929,18.9,132,46.0,0.73
E07000141,South Kesteven,2022-01-01/P3Y,27.2059879551876,66.2,27.9,24858,22.65508295,9.0,50.5,9.824246503627252,7.59,255363.0,6.45,6.821724,9700.617836,2594.3,100.0,95.41,83.0,3.5,27.86029,9.8,156,46.0,0.78
E07000149,South Norfolk,2022-01-01/P3Y,18.7827378316828,77.7,17.6,24378,17.70174356,2.6,75.2,9.932798410752254,7.66,312124.0,6.88,6.524854,8977.464985999999,2709.7,100.0,98.21,71.7,3.5,30.71594,10.0,164,46.0,0.83
E07000179,South Oxfordshire,2022-01-01/P3Y,17.5922384231715,84.0,14.8,33505,13.66551035,,86.0,8.307598691716741,9.27,474283.0,5.33,8.664354,10535.80456,2885.95,99.96,95.45,82.8,1.6,20.0174,9.6,231,43.0,0.73
E07000126,South Ribble,2022-01-01/P3Y,29.799612005549506,85.4,13.0,21936,20.44226536,2.8,68.8,7.841362894182913,5.75,211854.0,5.36,4.020509,9629.206145,2440.7,99.99,99.49,88.4,1.4,29.87404,11.4,1026,44.0,0.81
E07000196,South Staffordshire,2022-01-01/P3Y,28.5209289014457,81.3,15.6,25399,21.15492014,,81.9,9.702377238410184,7.48,310258.0,7.49,6.253279,10903.19569,2635.6,100.0,99.18,83.6,4.0,32.10749,9.1,281,48.0,0.72
E08000023,South Tyneside,2022-01-01/P3Y,37.7406406651889,65.0,28.5,19563,29.60246008,8.0,59.2,8.945023932711727,4.89,161372.0,3.14,4.105941,9692.388699,2069.85,100.0,100.0,92.9,1.2,37.80536,14.5,2350,42.0,0.51
E06000045,Southampton,2022-01-01/P3Y,37.4086941814987,75.9,21.6,19872,30.99682288,8.3,63.8,9.838175296404808,7.0,235362.0,2.6,10.684423,8621.370573,2511.7,100.0,100.0,97.0,1.3,28.08606,12.5,5201,34.0,0.71
E06000033,Southend-on-Sea,2022-01-01/P3Y,29.2574726131564,75.6,21.0,25329,29.0431669,5.4,63.1,11.00947561761808,8.18,325586.0,2.64,5.583555,10645.52548,2517.4,100.0,100.0,98.3,0.2,27.12915,11.1,4445,41.0,0.69
E09000028,Southwark,2022-01-01/P3Y,31.0948013020361,76.5,21.6,34635,31.04039168,5.9,81.1,8.183597600473146,11.09,582473.0,2.61,11.784732,7420.880175,2140.2,100.0,100.0,90.3,2.8,16.3418,11.2,10901,33.0,1.66
E07000213,Spelthorne,2022-01-01/P3Y,25.116055515791697,74.3,23.1,27896,20.40232671,4.0,66.0,7.526617160239778,10.49,429916.0,3.55,4.608495,11083.63556,2781.242623,100.0,100.0,92.2,1.8,24.61607,10.1,2385,40.0,0.71
E07000240,St Albans,2022-01-01/P3Y,16.698320250661197,85.0,14.5,38321,11.76047079,2.7,79.5,7.652435085906213,10.98,651448.0,5.56,7.153729,12782.18823,2883.9,100.0,99.98,93.5,1.2,22.51971,5.4,937,42.0,0.94
E08000013,St. Helens,2022-01-01/P3Y,38.6422504269776,74.4,22.7,20225,26.2603144,10.2,59.1,10.00366261416132,5.09,186435.0,5.38,7.464464,9179.098234,2311.4,100.0,100.0,96.9,1.1,31.26631,11.2,1385,42.0,0.61
E07000197,Stafford,2022-01-01/P3Y,28.4090078203106,76.5,22.0,24013,20.61508688,4.0,64.5,10.972273330880116,6.54,259721.0,7.86,7.943959,10258.282,2516.55,99.93,94.07,84.3,4.0,28.28247,8.2,237,45.0,0.83
E07000198,Staffordshire Moorlands,2022-01-01/P3Y,31.928830509236104,80.9,17.3,22712,20.05115434,16.7,49.2,12.200430790159846,5.89,227875.0,10.5,4.89555,10953.64139,2532.3,98.27,88.83,75.6,5.7,29.3471,8.3,168,50.0,0.74
E07000243,Stevenage,2022-01-01/P3Y,29.459255239854603,71.9,26.3,21903,25.13345915,8.4,56.7,7.299707907364906,8.06,323429.0,3.89,4.007897,9603.660063,2449.1,100.0,100.0,92.6,0.7,31.01763,9.1,3534,38.0,0.98
E08000007,Stockport,2022-01-01/P3Y,33.8783551770431,75.2,20.3,24864,19.5958614,3.2,70.9,8.795474627857622,7.76,314495.0,3.43,12.358002,11012.94917,2585.6,100.0,99.98,94.9,0.8,22.95969,10.9,2411,41.0,0.82
E06000004,Stockton-on-Tees,2022-01-01/P3Y,30.7364799683397,74.1,22.3,20209,26.24025827,8.7,57.3,7.791592391181713,4.66,170923.0,5.55,7.296572,10247.47676,2320.8,100.0,99.72,92.0,3.7,32.19116,10.7,1009,41.0,0.74
E06000021,Stoke-on-Trent,2022-01-01/P3Y,41.4614170301451,75.0,21.9,17626,37.6337886,8.4,63.0,14.774522912361734,4.73,148799.0,3.91,12.072268,9790.422834,2297.7,100.0,100.0,94.0,1.4,34.08647,14.4,2894,37.0,0.81
E07000221,Stratford-on-Avon,2022-01-01/P3Y,21.2291660928201,85.3,11.7,32164,17.71765493,2.2,77.4,11.275365128602816,8.96,392574.0,6.91,7.668568,9596.553075,2795.7,99.99,97.03,85.3,1.7,19.3434,7.9,150,47.0,1.05
E07000082,Stroud,2022-01-01/P3Y,24.762997884301,88.0,9.9,27487,17.80354388,4.2,81.4,9.844119718945867,8.55,355953.0,6.01,12.566242,9475.328108,2700.7,99.3,94.99,80.8,1.9,27.48174,9.7,273,46.0,0.87
E08000024,Sunderland,2022-01-01/P3Y,34.5576421721543,72.4,24.8,18751,29.7359035,13.0,51.0,9.32170632527792,4.64,143216.0,3.49,8.348035,10432.50611,2145.5,100.0,100.0,94.7,1.3,42.60298,12.8,2101,41.0,0.73
E07000214,Surrey Heath,2022-01-01/P3Y,17.0963168953916,84.9,13.0,33217,13.81087498,7.1,67.5,5.812836030232981,10.77,461396.0,4.91,5.012704,12965.10132,3043.85,100.0,99.29,89.4,0.8,23.74104,7.5,994,43.0,1.0
E09000029,Sutton,2022-01-01/P3Y,23.134466941726103,81.3,14.7,27343,19.70166431,4.3,79.1,8.082181097010684,10.25,446775.0,2.73,7.96813,11005.67784,2634.25,100.0,100.0,91.7,1.0,30.22429,8.7,4893,40.0,0.62
E07000113,Swale,2022-01-01/P3Y,27.3589785838824,80.7,18.7,22987,26.99553872,6.9,61.6,8.723680549114182,7.94,298394.0,6.4,5.648337,9050.243008,2592.95,99.77,98.67,80.2,3.3,34.53465,13.3,424,41.0,0.64
E06000030,Swindon,2022-01-01/P3Y,32.0750906931169,80.3,18.0,22214,22.63179743,5.9,63.2,8.107391253094425,7.2,265666.0,3.8,10.698143,9442.292098,2493.2,100.0,99.97,96.9,1.5,32.90507,10.2,1060,39.0,0.79
E08000008,Tameside,2022-01-01/P3Y,39.74348632372921,73.2,24.8,19444,32.46581197,8.2,59.9,10.229600915710398,6.22,211304.0,3.06,9.226532,9578.745835,2345.4,99.83,99.73,95.1,0.5,32.70824,16.5,2323,39.0,0.54
E07000199,Tamworth,2022-01-01/P3Y,28.2922647913704,83.1,16.9,19377,26.87627442,3.7,45.8,9.436989498249709,6.23,230478.0,2.84,3.952783,9516.433429,2548.108,100.0,100.0,97.9,0.2,36.6925,12.4,2630,40.0,0.64
E07000215,Tandridge,2022-01-01/P3Y,20.2997906340823,79.4,19.7,34393,16.02448266,5.6,56.4,7.509383448384472,12.32,475344.0,5.72,4.097982,12843.44755,3073.65,100.0,99.66,72.9,3.8,25.12206,10.0,365,43.0,0.71
E07000045,Teignbridge,2022-01-01/P3Y,22.0392169782482,77.7,20.7,24924,23.94820494,3.6,70.4,9.413121800139056,8.47,303564.0,4.68,3.899831,7891.601846,2536.8,99.38,73.37,76.9,6.8,21.42674,15.3,206,50.0,0.77
